frame_idx,a_prob_0_ppg_good,a_prob_1_ppg_bad,a_prob_2_ppg_uncertain,a_pred_id,a_pred_label,b_prob_0_ecg_good,b_prob_1_ecg_bad,b_prob_2_ecg_uncertain,b_pred_id,b_pred_label,c_prob_0_final_ok,c_prob_1_signal_bad_or_contact_bad,c_prob_2_uncertain_or_motion,c_pred_id,c_pred_label
0,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.9999998807907104,4.12977676144885e-13,8.99501DATE_REMOVED67e-08,0,ECG_GOOD,0.0016961428336799,0.000196DATE_REMOVED22,0.9981076717376708,2,UNCERTAIN_OR_MOTION
1,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,1.3339173701746983e-31,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
2,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
3,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
4,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
5,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
6,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
7,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0026823030784726,0.0041019199416041,0.9932158589363098,2,UNCERTAIN_OR_MOTION
8,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
9,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0158995166420936,0.7840052843093872,0.DATE_REMOVED14002609,1,SIGNAL_BAD_OR_CONTACT_BAD
10,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,0.0,1,ECG_BAD,0.0017594613600522,0.0010564548429101,0.9971840977668762,2,UNCERTAIN_OR_MOTION
11,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,1.0,9.797566573419448e-17,1,ECG_BAD,0.00162553DATE_REMOVED,0.0009314473718404,0.9974429607391356,2,UNCERTAIN_OR_MOTION
12,0.0,0.0,1.0,2,PPG_UNCERTAIN,0.0,0.0009918DATE_REMOVED5,0.9990082383155824,2,ECG_UNCERTAIN,0.0009068597573786,0.0001254574017366,0.9989676475524902,2,UNCERTAIN_OR_MOTION
13,0.0,0.0,1.0,2,PPG_UNCERTAIN,1.1596007644195089e-29,1.7651059433521077e-11,1.0,2,ECG_UNCERTAIN,0.0009400793933309,0.0001326981728198,0.9989272952079772,2,UNCERTAIN_OR_MOTION
14,0.0,0.0,1.0,2,PPG_UNCERTAIN,2.49719057619668e-20,1.29642657720197e-10,1.0,2,ECG_UNCERTAIN,0.0019690070766955,0.000429842446465,0.9976012110710144,2,UNCERTAIN_OR_MOTION
15,0.0,0.0,1.0,2,PPG_UNCERTAIN,1.059870845684446e-31,4.947602560020319e-16,1.0,2,ECG_UNCERTAIN,0.0022388682700693,0.0005272575072012,0.9972339272499084,2,UNCERTAIN_OR_MOTION
16,0.0,0.0,1.0,2,PPG_UNCERTAIN,8.395954156422563e-16,4.445985951357506e-13,1.0,2,ECG_UNCERTAIN,0.0022388682700693,0.0005272575072012,0.9972339272499084,2,UNCERTAIN_OR_MOTION
17,0.0,0.0,1.0,2,PPG_UNCERTAIN,1.6485560715671582e-17,7.861837266268101e-13,1.0,2,ECG_UNCERTAIN,0.0015690951840952,0.0002995923277921,0.9981313347816468,2,UNCERTAIN_OR_MOTION
18,0.0,0.0,1.0,2,PPG_UNCERTAIN,4.345088854820178e-31,1.999502092076e-05,0.9999799728393556,2,ECG_UNCERTAIN,0.0015490687219426,0.0002935423399321,0.9981573224067688,2,UNCERTAIN_OR_MOTION
19,0.0,0.0,1.0,2,PPG_UNCERTAIN,5.781552896894838e-24,1.0,9.42882327770178e-10,1,ECG_BAD,0.0027891059871762,0.0125580811873078,0.984652817249298,2,UNCERTAIN_OR_MOTION
